ticker,trade_date,open,high,low,close,adj_close,volume,day_change,day_change_pct,prev_close_change,prev_close_change_pct
^N225,2025-06-23,38260.6914,38368.2188,38026.3203,38354.0898,38354.0898,95800000,93.3984,0.244111,-49.1406,-0.12796
^N225,2025-06-24,38779.1797,38990.1094,38665.6094,38790.5586,38790.5586,100800000,11.3789,0.029343,436.4688,1.137998
^N225,2025-06-25,38904.1797,38944.7695,38711.1094,38942.0703,38942.0703,102900000,37.8906,0.097395,151.5117,0.390589
^N225,2025-06-26,39072.1406,39615.5898,39056.1406,39584.5781,39584.5781,123600000,512.4375,1.311516,642.5078,1.649907
^N225,2025-06-27,39866.3594,40267.8398,39847.3086,40150.7891,40150.7891,156100000,284.4297,0.713458,566.2109,1.430383
^N225,2025-06-30,40550.7891,40852.5391,40322.5391,40487.3906,40487.3906,143900000,-63.3984,-0.156343,336.6016,0.838344
1306.T,2025-06-23,2934.5,2934.5,2918.0,2931.5,2862.1418,1124970,-3.0,-0.102232,-12.5,-0.424592
1306.T,2025-06-24,2963.0,2972.5,2947.0,2951.5,2881.6687,914790,-11.5,-0.38812,20.0,0.682245
1306.T,2025-06-25,2962.5,2965.0,2941.0,2953.5,2883.6213,847760,-9.0,-0.303797,2.0,0.067762
1306.T,2025-06-26,2956.5,2979.5,2956.5,2978.5,2908.03,1372640,22.0,0.744123,25.0,0.846453
1306.T,2025-06-27,3000.0,3025.0,2998.0,3021.0,2949.5244,1606340,21.0,0.7,42.5,1.426893
1306.T,2025-06-30,3047.0,3051.0,3024.0,3030.0,2958.3115,1552340,-17.0,-0.557926,9.0,0.297915
